coarse_annotation_bbknn,reference,atac,atac_iodds,frac_diff,ncell_diff
PV_SMC_Arterial,37594,11959,0.7369392586289084,-0.03358533959262518,-4269.0
Stroma_Medulla,16381,4784,0.6765596999425639,-0.017993253917322483,-2287.0
Stroma_Perifoll_OutCor,4880,288,0.13671873458362885,-0.014306958100217317,-1819.0
Theca_3structural_HedgLow,5217,998,0.44316460737238067,-0.009865584829596956,-1254.0
Granulosa_sq_atr,3314,226,0.1579833429700519,-0.009476508449044681,-1205.0
PV_Capillary_Pericytes,5201,1098,0.48906980521599974,-0.009024509161111005,-1147.0
Stroma_OutCor,2908,170,0.1354284423842495,-0.008538282373935259,-1085.0
Theca_3structural,2920,416,0.3300394414758529,-0.00664365779578994,-844.0
Theca_1perifollicular_cycling,1455,0,0.0,-0.00494126516764643,-628.0
PV_Fibroblast,1509,77,0.11821071650454766,-0.00451886350491796,-574.0
Theca_2androgenic_Atr,2393,603,0.5837541456783233,-0.0033827335194094,-430.0
Endo_Art,2257,673,0.6907785914022688,-0.002370152446368015,-301.0
Theca_1perifollicular,2638,881,0.7736712908831184,-0.0020276341855753567,-258.0
Theca_2androgenic_pre,653,45,0.15964477047475803,-0.0018635937936350494,-237.0
Granulosa_sq_transitioning,677,70,0.23953265906453933,-0.001748414515478579,-222.0
Endo_Cap,6928,2775,0.9279198661086964,-0.0016958937155901223,-216.0
Endo_Cap_LY6H+_angiogenic,961,210,0.5062339547971689,-0.001611460914558294,-205.0
Theca_Atr,427,3,0.016276039831384388,-0.001426514832258477,-181.0
Endo_Ven,850,196,0.5341860100267537,-0.001344641839703522,-171.0
Neural_Glia_Adult,825,199,0.5587975485221113,-0.001236138214383864,-157.0
Germcell_Oocyte_II,293,0,0.0,-0.0009950451505982157,-126.0
Endo_Lymph,288,9,0.07239446883334513,-0.0009072583720517851,-115.0
Endo_Art_LY6H+_angiogenic,232,4,0.039941775908052486,-0.0007564160307184764,-96.0
Theca_2androgenic,208,0,0.0,-0.0007063801751686993,-90.0
Granulosa_AMH_atr,188,2,0.024644925560287707,-0.000622724229840711,-79.0
Immune_MAIT,245,31,0.293123726868075,-0.0005881453340442019,-75.0
Immune_Tcm_Naive_CD4,222,23,0.2400104912673064,-0.0005729750863062702,-73.0
Neural_Glia_DHH+,166,0,0.0,-0.0005637457167211734,-72.0
Immune_NK_CD16+,168,3,0.04136826790476865,-0.0005469356718320679,-70.0
Germcell_Oocyte_I,160,2,0.028957787533338053,-0.0005276345908756938,-67.0
Granulosa_AMH_cycling,146,0,0.0,-0.0004958245460318754,-63.0
Germcell_Oocyte_IIb,144,0,0.0,-0.0004890324289629456,-62.0
Granulosa_AMH_antral,124,1,0.018682443569895516,-0.0004132438709543025,-53.0
Endo_Cycling,123,0,0.0,-0.0004177151997391827,-53.0
Theca_3structural_ZIM2,118,1,0.019632398327686817,-0.00039286751974751307,-50.0
Immune_Monocytes_cls,248,57,0.5324496417420223,-0.0003937814393446234,-50.0
Immune_Tem_Temra_CD8,109,3,0.06376026612845076,-0.0003465682182986387,-44.0
PV_Cycling,97,0,0.0,-0.00032941767784309533,-42.0
Granulosa_AMH_antral_HedgLow,98,1,0.023639010231296373,-0.0003249463490582151,-41.0
Immune_NK_CD16-,66,0,0.0,-0.0002241398632746834,-28.0
Immune_Mac_resident_HLADQA1+,60,0,0.0,-0.000203763512067894,-26.0
Immune_cDC2,344,123,0.8283274108373443,-0.00020055549557647606,-25.0
Immune_Mac_resident_SPP1+,77,10,0.30086013021649927,-0.00018282263396034613,-23.0
OSE,45,0,0.0,-0.0001528226340509205,-19.0
Stroma_HOXA9,41,0,0.0,-0.0001392383999130609,-18.0
Immune_Mac_monocyte_VCAN+,27,0,0.0,-9.16935804305523e-05,-12.0
Epithelial,25,0,0.0,-8.49014633616225e-05,-11.0
Granulosa_AMH_cumulus,20,0,0.0,-6.7921170689298e-05,-9.0
Immune_B_naive,24,1,0.09652595844446019,-7.363801750781248e-05,-9.0
Granulosa_AMH_ml,310,136,1.016324930202316,1.718652974681714e-05,2.0
FibC3,6190,2675,1.0011254494562754,2.36587509104616e-05,3.0
Immune_Tem_Trm_CD8,781,375,1.1123349884764937,0.00029794852933733235,38.0
Granulosa_AMH_early,841,480,1.3222105128182895,0.0009202606858006762,117.0
Immune_Mac_resident_LYVE1+_C1QC+,516,340,1.5264570172612308,0.000922545484793452,117.0
Granulosa_sq,5991,2741,1.059900459073672,0.0012187219623457542,155.0
Stroma_InnCor,109405,51983,1.100726781661176,0.03742461105838496,4757.0
Stroma_OutCor_Foll,35620,22130,1.439271955334691,0.053137676379467744,6754.0
Stroma_Perifoll_InnCor,30711,20305,1.5316671573427871,0.055450945867351095,7048.0
